2 AB,150000
4 NDY,150000
8 LB,95000
7 MB,80000
MT 11,65000
WH15 TLE,45000
AB 111,45000
111 MB,45000
3 GD,45000
BET 7,35000
MAG 11E,35000
69 AB,25000
3 BET,25000
AMY 6,30000
AND 3Y,25000
JO14 NNE,25000
SOP 13,20000
LOU 1B,20000
AMY 1B,17500
ROB 1T,18000
K1 ANE,16000
444 LB,15000
GLE 1N,15000
LAM 80E,15000
LEO 7N,15000
111 GAV ,15000
S12 MON,13500
NUF 1C,13000
J411 SON,11000
SHE 11B,11000
AMY 1K,12500
LEW 1T,10000
BEL 1L,10000
DAN IT,10000
DAV 1X,10000
STE 1X,10000
CAR 11L,8000
ESL 11,8000
JOB 5S,8000
SUS 13X,7000
BEE 1S,6500
JUD 7X,6000
WH19 TLE,5000
C1 JFC,5000
D1 ALB,5000
LEO 1E,5000
AGB 1S,4500
CAB 1Y,4500
FRY 11T,4000
LOO 1T,4000
F10 CKS,3500
DEB 666S,3250
DOL 77Y,3000
LOU 444A,3000
R88 AMY,3000
A795 LEX,1500
M5 AGB,1500
T1 PBP,1250
