6 T,255000
1 YY,98000
19 B,95000
7 OZ,80000
29 A,78000
MKE 1,75000
13 H,75000
A 79,70000
1 KX,70000
32 A,68000
P 100,65000
MG 4,65000
19 F,65000
17 G,65000
1 XB,65000
1 XD,65000
A 57,62500
K4 REN,60000
PP 11,55000
O 49,55000
X 28,55000
4 XX,55000
B8 RRY,50000
74 G,50000
16 OLD,45000
3 GEO,45000
MT 11,45000
28 X,45000
56 J,44000
9 GG,40000
91 J,38000
56 L,38000
14 Y,35500
LOT 22,35000
MKS 1,35000
HR 9,35000
DW 21,33000
THD 1,32000
AP 28,30000
FJ 10,30000
GIL 2,30000
2 DOG,30000
1 DOT,29000
TNR 1,29000
XXX 4,28000
38 AC,28000
42 AC,28000
VSN 1,28000
246 D,25000
60 MG,25000
200 A,25000
FT 50,25000
30 AR,23000
79 N,23000
RVD 1,22500
PAR 444,22000
D 5758,21000
NAS 12,21000
1 CSV,20000
EYO 1,20000
350 A,19500
1 HKV,19500
OXS 1,19000
1 FNE,18800
AB 787,18000
73 PS,18000
1 CYV,17500
1 RVO,17500
PCY 1,17000
4 YOU,17000
101 MH,16000
1 HXA,16000
50 RD,16000
8 JAD,16000
59 JR,16000
50 PE,16000
THD 2,16000
THD 3,16000
600 NER,15500
400 X,15500
700 X,15500
1 XBC,15500
YRV 1,"15,500"
BN 66,15500
TUR 80G,15000
110 CB,15000
ERR 1K,15000
11 GEM,15000
6 BMH,15000
333 X,15000
1 AON,15000
LWO 1,15000
16 WR,15000
650 JB,14000
1000 L,14000
888 JT,14000
3 SAC,14000
110 BH,13000
1 XXG,13000
10 EN,13000
MEJ 2,12500
1111 GK,12000
333 BH,12000
CDA 1Y,12000
DES 88,11500
GLS 12,11500
530 W,11500
35 FF,11500
222 DJW,11000
225 AC,11000
21 JJM,11000
SOP 13,11000
MWD 5,11000
REJ 3,10800
925 W,10500
650 CW,10000
VVC 2,10000
1 PJX,9900
XXX 1G,9800
XXX 1P,9800
JLT 93,9800
180 LD,9800
MCK 8Y,9800
TED 1B,9500
1 GGX,9500
55 GN,9500
1 XAD,9500
340 H,9000
98 PR,9000
BOB 964,8800
SAM 293,8800
TEF 10N,8800
2 CFG,8800
CSV 137,8500
11 MCF,8500
8 MGL,8500
3 BHS,8500
1 EXR,8500
FP 23,8500
MXI 2,8500
2 OBO,8500
UOL 1,8500
XLU 1,8500
340 MW,8000
4 GAK,8000
JIG 61,7850
D65 PAK,7500
RUS 463,7500
400 AA,7500
BUD 53,7500
150 HB,7500
923 RH,7500
5 MGL,7500
44 ES,7500
300 LH,7000
CTS 45,7000
NBC 8,7000
208 SR,6800
31 HOT,6800
PHC 7,6800
PAT 228,6500
84 HW,6500
VSN 2,6500
GOF 3R,6000
B10 MAX,5800
V6 MAX,5800
95 RTE,5800
1166 NC,5500
JAG 30L,5500
JJW 624,5500
OAK 715,5500
OAK 206,5500
USA 318,5500
400 BR,5500
11 GGX,5500
DVA 60,5500
LAT 3X,5500
T7 RGA,5500
13 SLK,5500
SW 9320,5000
222 GA,5000
TVR 4X,5000
AXT 8N,4995
EB 935,4800
38 HGB,4800
99 JOB,4800
4 XCG,4800
YAN 15H,4500
4 XFJ,4500
A11 YLS,4200
488 RYU,4000
628 MZ,4000
M3 WLL,4000
HXN 2,4000
KAT 6V,3900
FRU 27Y,3800
V6 MWD,3800
R7 NGO,3800
7 VJX,3800
7 VJX,3800
2 VYW,3800
100 DVO,3600
362 PG,3600
600 BMC,3500
DER 66Y,3500
474 GDM,3500
REW 50N,3500
UNA 332,3500
G4 SUK,3500
TKJ 46,3500
JFB 502,3300
SEJ 150,3300
SOP 853,3200
MAM 44A,3200
V1 DOR,3200
GAC 881,3000
AES 242,3000
26 KYC,3000
47 RMV,3000
12 RTP,3000
F12 EYE,2900
ACD 560,2800
GV 2382,2800
GJH 8W,2800
NFG 20,2800
C1 WWC,2800
F1 XTT,2800
CSE 298,2500
HAZ 750,2500
F47 LEO,2500
E10 TTT,2500
HAZ 750,2500
JKS 830,2500
NRO 1L,2500
V6 SOP,2500
V6 STG,2500
FL 6879,2400
PAP 545,2400
URS 41A,2300
Y10 YDS,2300
WNZ 10,2300
WBK 598,2100
JYL 2W,2100
206 ELY,2000
KCT 961,2000
324 EKL,2000
EMW 520,2000
IUI 550,2000
KCT 961,2000
OCT 546,2000
753 PPP,2000
PRE 35E,2000
3593 TD,2000
457 TPE,2000
WOF 700,2000
308 YTB,2000
T7 BHP,2000
F1 FAT,2000
C1 JJJ,2000
R6 NOW,2000
L5 UST,2000
168 ATP,1900
FLA 55K,1900
507 PMY,1900
BKL 1N,1900
ETM 800,1850
RBG 65,1850
F15 ETY,1800
JPR 10E,1800
JSK 680,1800
2451 ME,1800
MXI 795,1800
RGC 943,1800
M66 UFC,1800
VJV 306,1800
A1 OLE,1800
G7 ENG,1800
85 FVD,1800
X5 JUN,1800
MXI 52,1800
C7 RWG,1800
S1 XGO,1800
1828 TJ,1700
3429 TJ,1700
310 CTR,1600
RSL 844,1600
E1 LTC,1550
GAV 69N,1500
624 JGC,1500
G15 AGE,1500
M12 CFD,1500
JSK 680,1500
C11 MUP,1500
B20 PET,1500
V40 SLK,1500
SUG 44L,1500
935 VPD,1500
50 OXH,1500
219 CTR,1400
MGL 108,1400
931 ELC,1400
D6 SKB,1350
D6 SKB,1350
MGL 608,1300
S99 CST,1300
