J1 OSH,75000
1 UCE,45000
J1 ESY,24995
E11 SAS,17500
YAP 1,16950
83 CC,12500
DFM 2,9995
VAR 9Y,7500
GG 754,4995
R6 BBY,4500
386 KM,3850
56 DTC,3600
A2 JAY,3600
JMP 707,3495
GS 5255,3450
JCH 296,3450
MCS 144,3450
JMR 349,2850
N6 AJM,2750
1975 BL,2750
537 JPB,2750
PHM 39,2750
RH 8185,2750
A9 DEV,2500
LEV 5Y,2495
PCB 205,2495
V6 RDY,2495
A7 SMC,2495
5202 AD,2350
DG 8362,2350
MAX 31L,2350
E9 MJB,2350
MJP 55S,2350
PMA 55Y,2250
SMA 55Y,2250
F40 DRH,1995
761 ROY,1995
980 JBB,1995
6952 PH,1995
J1 AYK,1850
X5 DEL,1850
V1 SRW,1850
DES 4N,1750
J6 DJR,1750
W11 FES,1750
S9 JSH,1750
J1 SJT,1750
100 LCG,1695
RLB 8S,1695
JBS 55S,1650
Y1 SOF,1600
RAS 934,1595
RAS 945,1595
A1 GEB,1495
N1 GML,1495
4895 KP,1495
RAS 773,1495
A6 CGS,1450
A3 GDM,1450
X4 GMC,1450
J13 JYM,1450
H20 MJB,1450
MLC 4P,1450
L99 RGE,1450
M3 RJP,1450
P5 SRH,1450
A4 TMC,1450
M2 ACD,1350
J8 ADB,1350
D4 AMV,1350
8371 DF,1350
X5 DPS,1350
P1 JDK,1350
